timestamp,open,high,low,close,coin
2025-04-18,84059.0,85377.0,83900.0,84931.0,bitcoin
2025-04-22,84940.0,88260.0,84038.0,87452.0,bitcoin
2025-04-26,87501.0,95564.0,87366.0,94773.0,bitcoin
2025-04-30,94739.0,95491.0,92953.0,94256.0,bitcoin
2025-05-04,94275.0,97822.0,93334.0,95923.0,bitcoin
2025-05-08,95893.0,97512.0,93592.0,97026.0,bitcoin
2025-05-12,97036.0,104841.0,96965.0,103994.0,bitcoin
2025-05-16,104083.0,105503.0,101109.0,103709.0,bitcoin
2025-05-20,103749.0,106518.0,102381.0,105629.0,bitcoin
2025-05-24,105614.0,111814.0,104386.0,107217.0,bitcoin
2025-05-28,107156.0,110407.0,106802.0,109068.0,bitcoin
2025-06-01,109010.0,109104.0,103296.0,104688.0,bitcoin
2025-06-05,104686.0,106807.0,103939.0,104813.0,bitcoin
2025-06-09,104803.0,106365.0,100783.0,105692.0,bitcoin
2025-06-13,105724.0,110282.0,105426.0,105979.0,bitcoin
2025-06-17,105898.0,108785.0,103081.0,106951.0,bitcoin
2025-06-21,106842.0,107644.0,102624.0,103290.0,bitcoin
2025-06-25,103292.0,106129.0,98467.0,105976.0,bitcoin
2025-06-29,106036.0,108116.0,105985.0,107332.0,bitcoin
2025-07-03,107333.0,109608.0,105402.0,108824.0,bitcoin
2025-07-07,108876.0,110386.0,107386.0,109215.0,bitcoin
2025-07-11,109222.0,116462.0,107591.0,115880.0,bitcoin
2025-07-15,115961.0,122838.0,115548.0,119834.0,bitcoin
2025-07-19,119849.0,120689.0,116094.0,117989.0,bitcoin
2025-07-23,118003.0,120222.0,116779.0,119956.0,bitcoin
2025-07-27,119959.0,119959.0,115086.0,117960.0,bitcoin
2025-07-31,117906.0,119754.0,116079.0,117833.0,bitcoin
2025-08-04,117828.0,118865.0,112113.0,114199.0,bitcoin
2025-08-08,114235.0,117596.0,112770.0,117463.0,bitcoin
2025-08-12,117483.0,122227.0,115979.0,118774.0,bitcoin
2025-08-16,118727.0,124128.0,116956.0,117340.0,bitcoin
2025-08-20,117397.0,118514.0,112778.0,112778.0,bitcoin
2025-08-24,112896.0,117310.0,111764.0,115360.0,bitcoin
2025-08-28,115333.0,115549.0,109214.0,111216.0,bitcoin
2025-09-01,111241.0,113329.0,107682.0,108253.0,bitcoin
2025-09-05,108226.0,112502.0,107295.0,110725.0,bitcoin
2025-09-09,110752.0,113225.0,110032.0,112025.0,bitcoin
2025-09-13,112080.0,116705.0,110822.0,116160.0,bitcoin
2025-09-17,116092.0,116970.0,114509.0,116763.0,bitcoin
2025-09-21,116797.0,117888.0,114940.0,115716.0,bitcoin
2025-09-25,115723.0,115858.0,111369.0,113321.0,bitcoin
2025-09-29,113317.0,113492.0,108776.0,112143.0,bitcoin
2025-10-03,112179.0,121044.0,111599.0,120612.0,bitcoin
2025-10-07,120515.0,126080.0,119514.0,124774.0,bitcoin
2025-10-11,124740.0,125108.0,105896.0,113202.0,bitcoin
2025-10-15,113044.0,115934.0,109862.0,113157.0,bitcoin
2025-10-19,113066.0,113527.0,103856.0,107156.0,bitcoin
2025-10-23,107210.0,113804.0,106222.0,107618.0,bitcoin
2025-10-27,107591.0,114816.0,107581.0,114476.0,bitcoin
2025-10-31,114419.0,116041.0,106464.0,108241.0,bitcoin
2025-11-04,108409.0,111130.0,105540.0,106521.0,bitcoin
2025-11-08,106452.0,107189.0,99076.0,103396.0,bitcoin
2025-11-12,103192.0,107357.0,101490.0,102961.0,bitcoin
2025-11-16,103112.0,105257.0,94138.0,95508.0,bitcoin
2025-11-20,95380.0,96528.0,88540.0,91363.0,bitcoin
2025-11-24,91408.0,92944.0,81051.0,86784.0,bitcoin
2025-11-28,86740.0,91850.0,85546.0,91279.0,bitcoin
2025-12-02,91324.0,92849.0,83989.0,86281.0,bitcoin
2025-12-06,86304.0,94001.0,86259.0,89307.0,bitcoin
2025-12-10,89264.0,94490.0,87887.0,92723.0,bitcoin
2025-12-14,92686.0,94177.0,89426.0,90257.0,bitcoin
2025-12-18,90253.0,90469.0,85374.0,86065.0,bitcoin
2025-12-22,86197.0,89220.0,84581.0,88577.0,bitcoin
2025-12-26,88672.0,90353.0,86576.0,87230.0,bitcoin
2025-12-30,87192.0,90230.0,86674.0,87157.0,bitcoin
2026-01-03,87155.0,90789.0,86855.0,89926.0,bitcoin
2026-01-07,89951.0,94634.0,89401.0,93667.0,bitcoin
2026-01-11,93647.0,93647.0,89343.0,90442.0,bitcoin
2026-01-15,90392.0,97705.0,90129.0,97008.0,bitcoin
2026-01-19,96934.0,97113.0,93753.0,93753.0,bitcoin
2026-01-23,93636.0,93636.0,87304.0,89443.0,bitcoin
2026-01-27,89459.0,90895.0,86126.0,88308.0,bitcoin
2026-01-31,88220.0,90316.0,81315.0,84142.0,bitcoin
2026-02-04,84122.0,84122.0,73112.0,75639.0,bitcoin
2026-02-08,75650.0,76749.0,60256.0,69297.0,bitcoin
2026-02-12,69271.0,71852.0,65932.0,66938.0,bitcoin
2026-02-16,66994.0,70898.0,65243.0,68717.0,bitcoin
2026-02-20,68781.0,69999.0,65734.0,66919.0,bitcoin
2026-02-24,66957.0,68637.0,63963.0,64578.0,bitcoin
2026-02-28,64646.0,69487.0,62803.0,65884.0,bitcoin
2026-03-04,65879.0,69851.0,63177.0,68322.0,bitcoin
2026-03-08,68292.0,73953.0,67038.0,67271.0,bitcoin
2026-03-12,67268.0,71612.0,65727.0,70227.0,bitcoin
2026-03-16,70203.0,73839.0,69265.0,72682.0,bitcoin
2026-03-20,72799.0,75937.0,68934.0,69871.0,bitcoin
2026-03-24,69912.0,71646.0,67564.0,70893.0,bitcoin
2026-03-28,70917.0,71922.0,65587.0,66321.0,bitcoin
2026-04-01,66328.0,68286.0,65112.0,68232.0,bitcoin
2026-04-05,68231.0,69136.0,65819.0,67304.0,bitcoin
2026-04-09,67306.0,72698.0,66634.0,71117.0,bitcoin
2026-04-13,71004.0,73721.0,70522.0,70757.0,bitcoin
2026-04-17,70651.0,75829.0,70627.0,75149.0,bitcoin
